ID,date,NO.8,NO.13,NO.17,NO.21,NO.28,NO.33
3678,2018/3/19 11:18,4.56,14.1,11.38,10.76,7.78,15.01
3679,2018/3/19 11:30,4.57,14.11,11.35,10.74,7.79,15.02
3680,2018/3/19 11:42,4.58,14.11,11.36,10.75,7.79,15.02
3681,2018/3/19 11:54,4.58,14.11,11.36,10.76,7.78,15.02
3682,2018/3/19 12:06,4.58,14.11,11.36,10.75,7.78,15.02
3683,2018/3/19 12:18,4.57,14.11,11.37,10.74,7.77,15.02
3684,2018/3/19 12:30,4.58,14.11,11.36,10.74,7.79,15.02
3685,2018/3/19 12:42,4.57,14.11,11.36,10.75,7.79,15.03
3686,2018/3/19 12:54,4.57,14.11,11.36,10.75,7.78,15.02
3687,2018/3/19 13:06,4.58,14.11,11.36,10.74,7.79,15.03
3688,2018/3/19 13:18,4.57,14.11,11.37,10.74,7.8,15.03
3689,2018/3/19 13:30,4.58,14.11,11.37,10.75,7.79,15.03
3690,2018/3/19 13:42,4.57,14.11,11.38,10.75,7.78,15.02
3691,2018/3/19 13:54,4.57,14.11,11.37,10.74,7.79,15.03
3692,2018/3/19 14:06,4.58,14.11,11.37,10.74,7.79,15.02
3693,2018/3/19 14:18,4.58,14.11,11.38,10.75,7.79,15.02
3694,2018/3/19 14:30,4.56,14.1,11.37,10.75,7.79,15.03
3695,2018/3/19 14:42,4.57,14.11,11.36,10.75,7.79,15.01
3696,2018/3/19 14:54,4.58,14.11,11.36,10.74,7.79,15
3697,2018/3/19 15:06,4.58,14.11,11.38,10.75,7.79,15
3698,2018/3/19 15:18,4.58,14.11,11.38,10.75,7.78,15.01
3699,2018/3/19 15:30,4.58,14.11,11.39,10.73,7.78,15
3700,2018/3/19 15:42,4.58,14.11,11.38,10.75,7.78,15
3701,2018/3/19 15:54,4.58,14.11,11.37,10.73,7.78,15
3702,2018/3/19 16:06,4.57,14.11,11.36,10.74,7.78,15
3703,2018/3/19 16:18,4.56,14.11,11.36,10.73,7.79,15.01
3704,2018/3/19 16:30,4.57,14.11,11.38,10.74,7.78,15
3705,2018/3/19 16:42,4.57,14.11,11.36,10.75,7.78,15
